Series_reference,Period,Data_value,Suppressed,STATUS,UNITS
BDCQ.SEA1AA,2011.06,80078,,F,Number
BDCQ.SEA1AA,2011.09,78324,,F,Number
BDCQ.SEA1AA,2011.12,85850,,F,Number
BDCQ.SEA1AA,2012.03,90743,,F,Number
BDCQ.SEA1AA,2012.06,81780,,F,Number
BDCQ.SEA1AA,2012.09,79261,,F,Number
BDCQ.SEA1AA,2012.12,87793,,F,Number
BDCQ.SEA1AA,2013.03,91571,,F,Number
BDCQ.SEA1AA,2013.06,81687,,F,Number
BDCQ.SEA1AA,2013.09,81471,,F,Number
BDCQ.SEA1AA,2013.12,93950,,F,Number
BDCQ.SEA1AA,2014.03,97208,,F,Number
BDCQ.SEA1AA,2014.06,85879,,F,Number
BDCQ.SEA1AA,2014.09,84447,,F,Number
BDCQ.SEA1AA,2014.12,95075,,F,Number
BDCQ.SEA1AA,2015.03,98202,,F,Number
BDCQ.SEA1AA,2015.06,87987,,F,Number
